Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
蕉,艹,22.5975,['艹'],[103570]
萎,艹,5.7185,['艹'],[103584]
芜,艹,4.1136,['艹'],[103616]
芙,艹,13.9012,['艹'],[103639]
葩,艹,5.9457,['艹'],[103647]
蘑,艹,10.558,['艹'],[103679]
荔,艹,7.9852,['艹'],[103777]
萧,艹,14.1877,['艹'],[104608]
蔡,艹,22.1284,['艹'],[104676]
蒂,艹,54.3309,['艹'],[104680]
莉,艹,58.9728,['艹'],[105050]
萌,艹,70.7111,['艹'],[105297]
莎,艹,74.0889,['艹'],[105733]
薇,艹,19.2346,['艹'],[105978]
藤,艹,11.5605,['艹'],[106031]
芽,艹,10.0247,['艹'],[106219]
萍,艹,9.763,['艹'],[106220]
苑,艹,15.8667,['艹'],[106270]
蕾,艹,26.5333,['艹'],[106291]
葬,艹,17.4864,['艹'],[106518]
薛,艹,3.7136,['艹'],[106929]
茨,艹,10.4099,['艹'],[107630]
莹,艹,10.9185,['艹'],[107911]
芭,艹,15.7877,['艹'],[109452]
茎,艹,2.6617,['艹'],[109729]
苯,艹,1.7975,['艹'],[109948]
藉,艹,5.5852,['艹'],[110058]
蒲,艹,9.037,['艹'],[110168]
藻,艹,2.9877,['艹'],[110818]
茵,艹,3.1457,['艹'],[111598]
荫,艹,2.4494,['艹'],[111600]
芸,艹,3.2543,['艹'],[112116]
茜,艹,12.963,['艹'],[112992]
葵,艹,8.0198,['艹'],[113439]
茹,艹,4.479,['艹'],[113590]
苔,艹,3.358,['艹'],[114144]
莽,艹,3.916,['艹'],[114237]
蕊,艹,1.8914,['艹'],[114753]
苟,艹,3.8864,['艹'],[115038]
芋,艹,7.8074,['艹'],[115075]
菁,艹,1.3432,['艹'],[115358]
藕,艹,6.5481,['艹'],[115641]
茸,艹,3.4963,['艹'],[116210]
茗,艹,1.9901,['艹'],[117040]
芹,艹,8.0889,['艹'],[117539]
茬,艹,4.8296,['艹'],[118277]
芥,艹,5.3778,['艹'],[118441]
茧,艹,2.8741,['艹'],[118636]
蔑,艹,4.5679,['艹'],[118851]
藩,艹,1.4519,['艹'],[118959]
莺,艹,1.9654,['艹'],[119018]
苞,艹,1.9506,['艹'],[119025]
蘸,艹,3.2691,['艹'],[119039]
荧,艹,5.3926,['艹'],[119112]
蓓,艹,1.516,['艹'],[119115]
葆,艹,1.0963,['艹'],[119139]
萃,艹,2.6914,['艹'],[119171]
薰,艹,4.7358,['艹'],[119221]
芮,艹,1.9358,['艹'],[119234]
萦,艹,2.6074,['艹'],[119278]
荟,艹,3.437,['艹'],[119290]
苇,艹,1.6346,['艹'],[119313]
茉,艹,3.9852,['艹'],[119327]
苛,艹,6.4741,['艹'],[119328]
茁,艹,1.5802,['艹'],[119329]
荤,艹,3.8963,['艹'],[119353]
菠,艹,14.9877,['艹'],[119402]
萤,艹,2.3259,['艹'],[119403]
蔗,艹,2.9679,['艹'],[119465]
蔼,艹,2.1383,['艹'],[119466]
藐,艹,1.7333,['艹'],[119510]
芫,艹,0.2222,['艹'],[119662]
苣,艹,0.9235,['艹'],[119665]
苡,艹,0.4247,['艹'],[119676]
苷,艹,0.2123,['艹'],[119814]
茏,艹,0.2173,['艹'],[119816]
苜,艹,0.237,['艹'],[119818]
茔,艹,0.0198,['艹'],[119829]
荚,艹,0.8938,['艹'],[120029]
荜,艹,0.0988,['艹'],[120032]
茴,艹,1.2,['艹'],[120035]
茱,艹,2.4,['艹'],[120036]
荞,艹,2.2074,['艹'],[120038]
荠,艹,1.4519,['艹'],[120043]
荨,艹,0.642,['艹'],[120048]
莴,艹,1.5407,['艹'],[120309]
莅,艹,0.6321,['艹'],[120313]
荼,艹,1.9111,['艹'],[120314]
荽,艹,0.1827,['艹'],[120316]
荻,艹,0.3901,['艹'],[120318]
莨,艹,0.1086,['艹'],[120319]
萁,艹,0.0494,['艹'],[120586]
萘,艹,0.1185,['艹'],[120589]
萸,艹,0.1284,['艹'],[120594]
菟,艹,0.1086,['艹'],[120598]
菪,艹,0.084,['艹'],[120601]
菅,艹,0.4346,['艹'],[120602]
葚,艹,0.3358,['艹'],[120874]
葺,艹,0.084,['艹'],[120878]
蓦,艹,2.6765,['艹'],[121125]
蓖,艹,0.1383,['艹'],[121128]
蓟,艹,0.5531,['艹'],[121131]
蓑,艹,0.2864,['艹'],[121132]
蒡,艹,0.3407,['艹'],[121136]
蔫,艹,0.9383,['艹'],[121364]
蔷,艹,1.842,['艹'],[121365]
蔻,艹,3.3086,['艹'],[121376]
蓿,艹,0.2173,['艹'],[121377]
蕨,艹,0.316,['艹'],[121565]
蕃,艹,2.5037,['艹'],[121570]
薏,艹,3.3975,['艹'],[121722]
薮,艹,0.0642,['艹'],[121723]
藓,艹,0.3556,['艹'],[121860]
藜,艹,0.484,['艹'],[121964]
藿,艹,0.321,['艹'],[122007]
苺,艹,0.0593,['艹'],"[49943, 118]"
藏,艹,162.1531,['艹'],[50366]
节,艹,664.2123,['艹'],[55502]
英,艹,400.9333,['艹'],[82847]
菸,艹,0.3309,['艹'],"[85794, 116]"
营,艹,151.3877,['艹'],[99209]
花,艹,836.6864,['艹'],[99232]
落,艹,304.3951,['艹'],[99297]
蔵,艹,0.0889,['艹'],"[99303, 113]"
艺,艹,145.5457,['艹'],[99434]
获,艹,1759.7481,['艹'],[99447]
范,艹,79.5852,['艹'],[99453]
药,艹,180.1333,['艹'],[99471]
著,艹,98.884,['艹'],[99610]
苦,艹,367.7679,['艹'],[99746]
菜,艹,287.1012,['艹'],[99800]
草,艹,187.3975,['艹'],[99808]
荣,艹,76.1827,['艹'],[99832]
苏,艹,99.279,['艹'],[99908]
剂,刂,32.4543,"['刂', '刀']",[100067]
剩,刂,100.4296,"['刂', '刀']",[100124]
刺,刂,148.0593,"['刂', '刀']",[100253]
刊,刂,13.5753,"['刂', '刀']",[100296]
刘,刂,160.1086,"['刂', '刀']",[100351]
割,刂,22.7951,"['刂', '刀']",[100958]
刷,刂,149.0963,"['刂', '刀']",[101210]
削,刂,12.4099,"['刂', '刀']",[101778]
刹,刂,17.6889,"['刂', '刀']",[101796]
剥,刂,15.5111,"['刂', '刀']",[101819]
剖,刂,6.8,"['刂', '刀']",[103310]
剔,刂,8.7753,"['刂', '刀']",[103869]
剑,刂,110.4938,"['刂', '刀']",[103954]
刮,刂,33.5012,"['刂', '刀']",[106366]
删,刂,42.8346,"['刂', '刀']",[109218]
剿,刂,24.7605,"['刂', '刀']",[113626]
刨,刂,2.2222,"['刂', '刀']",[117848]
剁,刂,7.2988,"['刂', '刀']",[118607]
剃,刂,6.5284,"['刂', '刀']",[118895]
刎,刂,0.2568,"['刂', '刀']",[119631]
刽,刂,0.7704,"['刂', '刀']",[119917]
剌,刂,0.7062,"['刂', '刀']",[120073]
剐,刂,0.5432,"['刂', '刀']",[120124]
剜,刂,0.1679,"['刂', '刀']",[120514]
剽,刂,0.9235,"['刂', '刀']",[121157]
到,刂,5288.1432,"['刂', '刀']",[26939]
列,刂,138.3704,"['刂', '刀']",[31118]
制,刂,359.9901,"['刂', '刀']",[43316]
则,刂,165.921,"['刂', '刀']",[46448]
利,刂,668.9926,"['刂', '刀']",[59532]
别,刂,1379.6741,"['刂', '刀']",[62922]
创,刂,174.2914,"['刂', '刀']",[99186]
副,刂,58.1728,"['刂', '刀']",[99310]
剧,刂,226.9728,"['刂', '刀']",[99418]
刻,刂,308.716,"['刂', '刀']",[99483]
划,刂,144.8642,"['刂', '刀']",[99492]
判,刂,66.1086,"['刂', '刀']",[99713]
刑,刂,41.121,"['刂', '刀']",[99867]
刚,刂,987.3185,"['刂', '刀']",[99900]
厦,厂,35.442,['厂'],[100874]
厉,厂,58.4988,['厂'],[100895]
厨,厂,55.0272,['厂'],[101434]
厌,厂,177.516,['厂'],[101738]
厘,厂,31.1012,['厂'],[102751]
厕,厂,42.484,['厂'],[102967]
厢,厂,19.363,['厂'],[103376]
厄,厂,11.0963,['厂'],[112803]
厮,厂,5.1111,['厂'],[115904]
厥,厂,1.2988,['厂'],[118991]
厩,厂,0.7753,['厂'],[120630]
原,厂,728.1926,['厂'],[52129]
历,厂,209.3926,['厂'],[81202]
压,厂,185.516,['厂'],[99451]
厂,厂,34.5728,['厂'],[99675]
厚,厂,98.0889,['厂'],[99696]
厅,厂,91.3926,['厂'],[99928]
轨,车,23.3481,"['车', '車']",[100319]
辆,车,72.484,"['车', '車']",[100408]
辅,车,17.9259,"['车', '車']",[100519]
辈,车,131.1407,"['车', '車']",[100569]
辖,车,3.0716,"['车', '車']",[100600]
辉,车,36.7111,"['车', '車']",[101253]
轴,车,7.4469,"['车', '車']",[102390]
辐,车,9.6543,"['车', '車']",[102597]
轩,车,20.8198,"['车', '車']",[102697]
轿,车,17.1062,"['车', '車']",[102998]
轰,车,22.1531,"['车', '車']",[103086]
辕,车,1.5556,"['车', '車']",[103865]
辗,车,6.9383,"['车', '車']",[103874]
轧,车,1.3383,"['车', '車']",[111133]
辍,车,0.8099,"['车', '車']",[119163]
辙,车,4.8049,"['车', '車']",[119175]
轱,车,0.3901,"['车', '車']",[120088]
轳,车,0.0148,"['车', '車']",[120090]
轶,车,3.2988,"['车', '車']",[120091]
辄,车,1.0815,"['车', '車']",[120636]
辋,车,0.0247,"['车', '車']",[120903]
辎,车,0.0198,"['车', '車']",[120905]
辘,车,1.0321,"['车', '車']",[121587]
输,车,111.7531,"['车', '車']",[25710]
载,车,585.1506,"['车', '車']",[27366]
车,车,1119.042,"['车', '車']",[39953]
转,车,591.0963,"['车', '車']",[46670]
辑,车,51.8321,"['车', '車']",[46939]
软,车,96.2617,"['车', '車']",[64272]
较,车,152.7012,"['车', '車']",[99260]
轻,车,313.3975,"['车', '車']",[99578]
轮,车,93.6,"['车', '車']",[99620]
屯,屮,4.8395,['屮'],[107551]
臣,臣,12.9235,['臣'],[102394]
辰,辰,25.1654,['辰'],[101427]
辱,辰,52.3951,['辰'],[103220]
龄,齿,61.2691,"['齿', '齒']",[100820]
齿,齿,31.9654,"['齿', '齒']",[101577]
龃,齿,0.0988,"['齿', '齒']",[121169]
龅,齿,0.6963,"['齿', '齒']",[121170]
龇,齿,0.2864,"['齿', '齒']",[121402]
龈,齿,3.0025,"['齿', '齒']",[121403]
龉,齿,0.084,"['齿', '齒']",[121588]
龊,齿,1.9457,"['齿', '齒']",[121589]
龋,齿,0.5679,"['齿', '齒']",[121870]
龌,齿,1.9309,"['齿', '齒']",[121871]
徒,彳,51.842,['彳'],[100273]
彻,彳,64.7704,['彳'],[100485]
